Document,Section,Chapter,Keywords,PDF Start Page,PDF End Page,Markdown File
Programming 622 Study Guide,TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,become; aware; software; engineering; principles; explore; c++; design; adt; outcomes; learn; discover,9,9,documents/programming-622-study-guide/sections/1-topic-1-software-engineering-principles-and-cpp-classes.md
Programming 622 Study Guide,Software Life Cycle,TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,software; life; cycle; goes; through; time; conceived; use; maintenance; developer; customer; some,9,9,documents/programming-622-study-guide/sections/1-1-software-life-cycle.md
Programming 622 Study Guide,Software Development Phase,TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,you; problem; design; phase; software; understand; requirements; machine; next; analysis; step; whether,10,16,documents/programming-622-study-guide/sections/1-2-software-development-phase.md
Programming 622 Study Guide,Algorithm Analysis: The Big-O Notation,TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,package; shop; packages; driver; delivers; mile; figure; drives; deliver; then; another; scheme,17,25,documents/programming-622-study-guide/sections/1-3-algorithm-analysis-the-big-o-notation.md
Programming 622 Study Guide,Classes,TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,you; member; can; variable; c++; called; members; components; syntax; declare; any; semicolon,26,27,documents/programming-622-study-guide/sections/1-4-classes.md
Programming 622 Study Guide,EXAMPLE 1-9,TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,time; members; set; hours; minutes; seconds; public; int; clocktype; member; print; increment,28,47,documents/programming-622-study-guide/sections/1-5-example-1-9.md
Programming 622 Study Guide,"Data Abstraction, Classes, and Abstract Data Types",TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,clocktype; abstraction; engine; implementation; time; car; details; type; logical; operations; adt; abstract,48,53,documents/programming-622-study-guide/sections/1-6-data-abstraction-classes-and-abstract-data-types.md
Programming 622 Study Guide,"Identifying Classes, Objects, and Operations",TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,cylinder; can; operations; nouns; verbs; list; volume; surface; area; dimensions; object; objects,54,57,documents/programming-622-study-guide/sections/1-7-identifying-classes-objects-and-operations.md
Programming 622 Study Guide,Review Questions,TOPIC 1: SOFTWARE ENGINEERING PRINCIPLES AND C++ CLASSES,int; following; what; returns; number; find; sum; consider; operations; funcexercise7; size; software,58,64,documents/programming-622-study-guide/sections/09-review-questions.md
Programming 622 Study Guide,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),standard; template; library; stl; outcomes; studying; you; learn,65,65,documents/programming-622-study-guide/sections/2-topic-2-standard-template-library-stl.md
Programming 622 Study Guide,Components of the STL,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),stl; use; array; manipulate; can; components; containers; iterators; used; process; linked; some,65,65,documents/programming-622-study-guide/sections/2-1-components-of-the-stl.md
Programming 622 Study Guide,Container Types,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),container; types; containers; used; manage; objects; given; type; stl; classified; three; categories,66,66,documents/programming-622-study-guide/sections/2-1-container-types.md
Programming 622 Study Guide,Sequence Containers,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),containers; sequence; container; adapters; called; sequential; associative; described; chapters; every; object; has,66,66,documents/programming-622-study-guide/sections/2-2-sequence-containers.md
Programming 622 Study Guide,Sequence Container: vector,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),vector; container; containers; type; can; statement; int; intlist; array; declares; sequence; because,66,73,documents/programming-622-study-guide/sections/2-3-sequence-container-vector.md
Programming 622 Study Guide,Containers and the Functions begin and end,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),container; intveciter; line; vector; begin; veclist; functions; statement; end; element; intlist; following,74,82,documents/programming-622-study-guide/sections/2-4-containers-and-the-functions-begin-and-end.md
Programming 622 Study Guide,The copy Algorithm,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),copy; elements; intarray; vector; container; output; first1; parameter; specifies; statement; line; array,83,86,documents/programming-622-study-guide/sections/2-5-the-copy-algorithm.md
Programming 622 Study Guide,ostream Iterator and Function copy,TOPIC 2: STANDARD TEMPLATE LIBRARY (STL),iterator; ostream; copy; veclist; screen; statement; use; elements; begin; end; type; int,87,97,documents/programming-622-study-guide/sections/2-6-ostream-iterator-and-function-copy.md
